     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.939 | DOC[20251231-1400-log_module.adoc] HASH[6c387b4431ca8ecbd0ddf38587aef1882a886764c05c52a3240733d28dc6fdaf]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Title] VALUE[A nice log module for KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Topic] VALUE[Development] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Tag] VALUE[logging] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Tag] VALUE[redirect] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Programming Language] VALUE[Python] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] KEY[Updated] VALUE[2025-12-31 14:00:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.940 | DOC[20251231-1400-log_module.adoc] targets to RESOURCE[20251231-1400-log_module.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.940 | DOC[about_app.adoc] Title[About this app]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] has 2 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] HASH[5ab8aed57c7df4ad90c435a04a4d8c8ffd2bae64edbd11615d8e2a126b5e3b4a]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] KEY[Title] VALUE[About this app] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] KEY[SystemPage] VALUE[Yes] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.941 | DOC[about_app.adoc] targets to RESOURCE[about_app.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] Title[FIXME]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] has 7 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] HASH[fe5142a33c1b212c17128d99ae52e51ed62353ae7b26a07261c78d70d463d945]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] KEY[Title] VALUE[FIXME] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.941 | DOC[FIXME.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] KEY[Topic] VALUE[Blog] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] KEY[Tag] VALUE[url] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] KEY[Tag] VALUE[edit] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] KEY[Updated] VALUE[2025-12-14 01:00:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.942 | DOC[FIXME.adoc] targets to RESOURCE[FIXME.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.942 | DOC[TODO.adoc] Title[TODO]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.942 | DOC[TODO.adoc] has 7 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.942 | DOC[TODO.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.942 | DOC[TODO.adoc] HASH[ebec6aa8a3d26c40e4c4961a032ff4eeca9a8989e2a4811058ff2895742e6072]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Title] VALUE[TODO] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Topic] VALUE[Blog] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Tag] VALUE[feature] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] KEY[Updated] VALUE[2025-12-20 15:00:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.943 | DOC[TODO.adoc] targets to RESOURCE[TODO.html]
     DEBUG |  547 | Backend              | 31/12/2025 12:31:08.944 | CONF[APP] PARAM[force] VALUE[True]: Keys hashes mismatch. Force compilation!
